Object ID,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,apprStartD,Approved Sunday Close,apprEndDat,Shape_STLe,the Geom,segmentidt,segmentidf,lionversion
38,Brooklyn RISE Charter School,HANOVER PLACE,Brooklyn,FULTON STREET,LIVINGSTON STREET,"mon,tue,wed,thu,fri",approvedFull,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,,,,02/01/2023,,06/30/2024,190.04514752,"MULTILINESTRING ((989214.8457013816 190428.65528172255, 989126.4534897208 190260.41742922366))",0024560,0024560,22A
39,Yeshivat Darchei Eres,LOCUST AVENUE,Brooklyn,CONEY ISLAND AVENUE,EAST 12 STREET,"mon,tue,wed,thu,fri,sun",approvedFullSchools,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,13:00,,,10:00,01/01/2023,14:00,06/30/2024,290.254727373,"MULTILINESTRING ((994275.1042816341 164432.7141634822, 994540.8944324702 164549.3477884829))",0026991,0026991,22A
40,New York City Department of Transportation,BEVERLEY ROAD,Brooklyn,CHURCH AVENUE,EAST 2 STREET,"sat,sun",approvedFull,,,,,,,,,,,10:00,18:00,10:00,04/22/2023,18:00,11/26/2023,218.525763997,"MULTILINESTRING ((990072.6520566344 173529.08671872318, 990286.3130466342 173483.23379206657))",0027702,0027702,22A
41,Flatbush Development Corporation,NEWKIRK AVENUE,Brooklyn,CONEY ISLAND AVENUE,EAST 17 STREET,sun,approvedFull,,,,,,,,,,,,,12:00,06/11/2023,20:00,07/30/2023,399.18600521,"MULTILINESTRING ((993357.9341999739 170153.4566589743, 993700.4961788803 170358.39752206206))",0028049,0028049,22A
42,Flatbush Development Corporation,NEWKIRK AVENUE,Brooklyn,CONEY ISLAND AVENUE,EAST 17 STREET,sun,approvedFull,,,,,,,,,,,,,12:00,06/11/2023,20:00,07/30/2023,285.003920556,"MULTILINESTRING ((993700.4961788803 170358.39752206206, 993941.4008807987 170510.68724372983))",0028054,0028054,22A
43,Flatbush Development Corporation,NEWKIRK AVENUE,Brooklyn,CONEY ISLAND AVENUE,EAST 17 STREET,sun,approvedFull,,,,,,,,,,,,,12:00,06/11/2023,20:00,07/30/2023,284.450266881,"MULTILINESTRING ((993941.4008807987 170510.68724372983, 994181.9679849744 170662.4746698141))",0028056,0028056,22A
44,Flatbush Development Corporation,NEWKIRK AVENUE,Brooklyn,CONEY ISLAND AVENUE,EAST 17 STREET,sun,approvedFull,,,,,,,,,,,,,12:00,06/11/2023,20:00,07/30/2023,295.360620876,"MULTILINESTRING ((994663.4105916321 170966.1846923083, 994912.5964449644 171124.75425705314))",0028164,0028164,22A
45,Park Slope Fifth Avenue BID,5 AVENUE,Brooklyn,STERLING PLACE,UNION STREET,sat,approvedFull,,,,,,,,,,,11:00,22:00,,05/06/2023,,10/28/2023,257.752016366,"MULTILINESTRING ((990025.627872467 186404.00453838706, 989908.9584863931 186174.16904005408))",0028923,0028923,22A
46,Park Slope Fifth Avenue BID,5 AVENUE,Brooklyn,STERLING PLACE,UNION STREET,sat,approvedFull,,,,,,,,,,,11:00,22:00,,05/06/2023,,10/28/2023,41.9142882848,"MULTILINESTRING ((990045.490037471 186440.91391339898, 990025.627872467 186404.00453838706))",0028924,0028924,22A
47,Park Slope Fifth Avenue BID,5 AVENUE,Brooklyn,STERLING PLACE,UNION STREET,sat,approvedFull,,,,,,,,,,,11:00,22:00,,05/06/2023,,10/28/2023,260.138995659,"MULTILINESTRING ((990164.40088889 186672.2848417312, 990045.490037471 186440.91391339898))",0028927,0028927,22A
48,Park Slope Fifth Avenue BID,5 AVENUE,Brooklyn,BERGEN STREET,PROSPECT PLACE,sat,approvedFull,,,,,,,,,,,11:00,22:00,,05/06/2023,,10/28/2023,220.787352797,"MULTILINESTRING ((990503.2092663944 187330.2789325565, 990403.0880755484 187133.4978300631))",0028941,0028941,22A
49,Park Slope Fifth Avenue BID,5 AVENUE,Brooklyn,BERGEN STREET,PROSPECT PLACE,sat,approvedFull,,,,,,,,,,,11:00,22:00,,05/06/2023,,10/28/2023,260.151509548,"MULTILINESTRING ((990622.8038434684 187561.31127889454, 990503.2092663944 187330.2789325565))",0028943,0028943,22A
50,Polhemus Place Block Association,POLHEMUS PLACE,Brooklyn,CARROLL STREET,GARFIELD PLACE,sat,approvedLimited,,,,,,,,,,,10:30,16:30,,03/25/2023,,11/18/2023,404.607973319,"MULTILINESTRING ((991052.4995063841 184421.68894922733, 990834.5632624775 184080.79100897908))",0029010,0029010,22A
51,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,04/21/2023,23:00,11/19/2023,332.339787365,"MULTILINESTRING ((992887.5811380595 186169.44135922194, 992799.4415505528 185849.0023675561))",0029160,0029160,22A
52,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,04/21/2023,23:00,11/19/2023,331.918439247,"MULTILINESTRING ((992975.4677733034 186489.51289756596, 992887.5811380595 186169.44135922194))",0029162,0029162,22A
53,Prospect Heights Neighborhood Development Council,UNDERHILL AVENUE,Brooklyn,PACIFIC STREET,ST JOHNS PLACE,"mon,tue,wed,thu,fri",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,04/03/2023,,12/31/2050,328.847351165,"MULTILINESTRING ((993511.129759714 185308.83317230642, 993421.5705556422 184992.4161542207))",0029222,0029222,22A
54,Prospect Heights Neighborhood Development Council,UNDERHILL AVENUE,Brooklyn,PACIFIC STREET,ST JOHNS PLACE,"mon,tue,wed,thu,fri",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,04/03/2023,,12/31/2050,331.714423632,"MULTILINESTRING ((993598.9281405509 185628.71737505496, 993511.129759714 185308.83317230642))",0029224,0029224,22A
55,Prospect Heights Neighborhood Development Council,UNDERHILL AVENUE,Brooklyn,PACIFIC STREET,ST JOHNS PLACE,"mon,tue,wed,thu,fri",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,04/03/2023,,12/31/2050,332.842876347,"MULTILINESTRING ((993687.8646424711 185949.45820339024, 993598.9281405509 185628.71737505496))",0029226,0029226,22A
56,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,04/21/2023,23:00,11/19/2023,330.946898839,"MULTILINESTRING ((993062.8619554639 186808.71206231415, 992975.4677733034 186489.51289756596))",0029228,0029228,22A
57,Prospect Heights Neighborhood Development Council,UNDERHILL AVENUE,Brooklyn,PACIFIC STREET,ST JOHNS PLACE,"mon,tue,wed,thu,fri",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,04/03/2023,,12/31/2050,332.02883948,"MULTILINESTRING ((993775.3546249717 186269.75283838809, 993687.8646424711 185949.45820339024))",0029230,0029230,22A
58,Prospect Heights Neighborhood Development Council,UNDERHILL AVENUE,Brooklyn,PACIFIC STREET,ST JOHNS PLACE,"mon,tue,wed,thu,fri",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,04/03/2023,,12/31/2050,332.170327956,"MULTILINESTRING ((993863.3203283101 186590.06387755275, 993775.3546249717 186269.75283838809))",0029232,0029232,22A
59,Prospect Heights Neighborhood Development Council,UNDERHILL AVENUE,Brooklyn,PACIFIC STREET,ST JOHNS PLACE,"mon,tue,wed,thu,fri",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,04/03/2023,,12/31/2050,289.876341274,"MULTILINESTRING ((993939.2325780541 186869.82381673157, 993863.3203283101 186590.06387755275))",0029234,0029234,22A
60,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,04/21/2023,23:00,11/19/2023,290.652320799,"MULTILINESTRING ((993138.4234841317 187089.37062172592, 993062.8619554639 186808.71206231415))",0029236,0029236,22A
61,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,04/21/2023,23:00,11/19/2023,289.384405452,"MULTILINESTRING ((993214.7523997277 187368.50720256567, 993138.4234841317 187089.37062172592))",0029238,0029238,22A
62,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,04/21/2023,23:00,11/19/2023,830.556950951,"MULTILINESTRING ((993214.7523997277 187368.50720256567, 994015.8790782988 187149.37050172687))",0029239,0029239,22A
63,Prospect Heights Neighborhood Development Council,UNDERHILL AVENUE,Brooklyn,PACIFIC STREET,ST JOHNS PLACE,"mon,tue,wed,thu,fri",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,04/03/2023,,12/31/2050,289.863821633,"MULTILINESTRING ((994015.8790782988 187149.37050172687, 993939.2325780541 186869.82381673157))",0029335,0029335,22A
64,Bridge Street Development Corporation,TOMPKINS AVENUE,Brooklyn,HALSEY STREET,GATES AVENUE,sun,approvedFull,,,,,,,,,,,,,11:00,06/04/2023,20:00,11/26/2023,270.156503579,"MULTILINESTRING ((999730.4641057998 188738.05498839915, 999771.2940766364 188471.00171673298))",0029891,0029891,22A
65,Bridge Street Development Corporation,TOMPKINS AVENUE,Brooklyn,HALSEY STREET,GATES AVENUE,sun,approvedFull,,,,,,,,,,,,,11:00,06/04/2023,20:00,11/26/2023,269.732469191,"MULTILINESTRING ((999811.8186018914 188203.97469173372, 999852.6324966401 187937.3479283899))",0029893,0029893,22A
66,Bridge Street Development Corporation,TOMPKINS AVENUE,Brooklyn,HALSEY STREET,GATES AVENUE,sun,approvedFull,,,,,,,,,,,,,11:00,06/04/2023,20:00,11/26/2023,269.973137578,"MULTILINESTRING ((999690.0770474672 189004.99015006423, 999730.4641057998 188738.05498839915))",0029897,0029897,22A
67,Bridge Street Development Corporation,TOMPKINS AVENUE,Brooklyn,HALSEY STREET,GATES AVENUE,sun,approvedFull,,,,,,,,,,,,,11:00,06/04/2023,20:00,11/26/2023,270.209554451,"MULTILINESTRING ((999649.1322474778 189272.0795108974, 999690.0770474672 189004.99015006423))",0029899,0029899,22A
68,Bridge Street Development Corporation,TOMPKINS AVENUE,Brooklyn,HALSEY STREET,GATES AVENUE,sun,approvedFull,,,,,,,,,,,,,11:00,06/04/2023,20:00,11/26/2023,270.06590323,"MULTILINESTRING ((999608.472879976 189539.0671658963, 999649.1322474778 189272.0795108974))",0029901,0029901,22A
69,Volunteers,SOUTH PORTLAND AVENUE,Brooklyn,DEKALB AVENUE,LAFAYETTE AVENUE,"sat,sun",approvedLimited,,,,,,,,,,,08:00,20:00,08:00,02/01/2023,20:00,12/31/2050,923.318930075,"MULTILINESTRING ((991153.7886738926 190552.81841923296, 991289.6903049648 189639.55581006408))",0030057,0030057,22A
70,NYCDOT,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,01/31/2023,23:59,12/31/2050,273.836003866,"MULTILINESTRING ((991587.71169056 191285.28414589167, 991861.3591091335 191275.12307697535))",0030069,0030069,22A
71,NYCDOT,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,01/31/2023,23:59,12/31/2050,275.931939594,"MULTILINESTRING ((991861.3591091335 191275.12307697535, 992136.9327049702 191261.06503422558))",0030076,0030076,22A
72,NYCDOT,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,01/31/2023,23:59,12/31/2050,280.554477616,"MULTILINESTRING ((992136.9327049702 191261.06503422558, 992417.1355566382 191247.02306756377))",0030173,0030173,22A
73,NYCDOT,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,01/31/2023,23:59,12/31/2050,285.470518501,"MULTILINESTRING ((992417.1355566382 191247.02306756377, 992702.2695008069 191233.16482755542))",0030177,0030177,22A
74,NYCDOT,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,01/31/2023,23:59,12/31/2050,285.279008973,"MULTILINESTRING ((992702.2695008069 191233.16482755542, 992987.4690616429 191226.43255755305))",0030181,0030181,22A
75,NYCDOT,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,01/31/2023,23:59,12/31/2050,269.067670814,"MULTILINESTRING ((992987.4690616429 191226.43255755305, 993254.0961530507 191262.59062172472))",0030185,0030185,22A
76,NYCDOT,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,01/31/2023,23:59,12/31/2050,270.681035982,"MULTILINESTRING ((993254.0961530507 191262.59062172472, 993521.6740299761 191303.45996256173))",0030291,0030291,22A
77,Hall Street Block Association,HALL STREET,Brooklyn,PARK AVENUE,MYRTLE AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,04/01/2023,19:00,12/31/2050,821.236968575,"MULTILINESTRING ((993578.5079058111 192726.13428255916, 993704.7150024772 191914.65296588838))",0030313,0030313,22A
78,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/19/2023,20:00,12/31/2050,193.806547857,"MULTILINESTRING ((993850.8994213939 198317.09390114248, 993816.8768516332 198126.29703864455))",0030447,0030447,22A
79,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/19/2023,20:00,12/31/2050,316.051415812,"MULTILINESTRING ((994101.9943916351 198846.70242197812, 993964.8325924724 198561.96545864642))",0030588,0030588,22A
80,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/19/2023,20:00,12/31/2050,250.555828926,"MULTILINESTRING ((994210.3898441344 199072.5976394713, 994101.9943916351 198846.70242197812))",0030614,0030614,22A
81,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/19/2023,20:00,12/31/2050,301.504251909,"MULTILINESTRING ((994340.7012633085 199344.4868594706, 994210.3898441344 199072.5976394713))",0030616,0030616,22A
82,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/19/2023,20:00,12/31/2050,254.667676041,"MULTILINESTRING ((994451.2095724642 199573.92865781486, 994340.7012633085 199344.4868594706))",0030618,0030618,22A
83,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/19/2023,20:00,12/31/2050,264.896430635,"MULTILINESTRING ((994568.7224608064 199811.333038643, 994451.2095724642 199573.92865781486))",0030620,0030620,22A
84,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/19/2023,20:00,12/31/2050,219.232796055,"MULTILINESTRING ((994704.2175966352 199983.6817753166, 994568.7224608064 199811.333038643))",0030624,0030624,22A
85,Pizzette,GRAHAM AVENUE,Brooklyn,SCHOLES STREET,MONTROSE AVENUE,"sat,sun",approvedFull,,,,,,,,,,,11:00,23:00,11:00,04/01/2023,23:00,12/01/2023,270.026537187,"MULTILINESTRING ((999997.1991366446 196982.71336780488, 999963.557471633 197250.6360603124))",0031380,0031380,22A
86,Pizzette,GRAHAM AVENUE,Brooklyn,SCHOLES STREET,MONTROSE AVENUE,"sat,sun",approvedFull,,,,,,,,,,,11:00,23:00,11:00,04/01/2023,23:00,12/01/2023,260.957236383,"MULTILINESTRING ((999963.557471633 197250.6360603124, 999930.9098991305 197509.5430228114))",0031393,0031393,22A
87,PS 132 The Conselyea School,CONSELYEA STREET,Brooklyn,GRAHAM AVENUE,MANHATTAN AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,09:30,14:45,09:30,14:45,09:30,14:45,09:30,14:45,09:30,14:45,,,,01/31/2023,,06/28/2024,470.894504241,"MULTILINESTRING ((999168.4311091304 199799.40064780414, 999635.6513033062 199858.11116030812))",0031413,0031413,22A
88,"KioRestaurant, LLC",DUANE STREET,Manhattan,WEST BROADWAY,HUDSON STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,12:00,23:00,12:00,01/16/2023,23:00,12/31/2023,237.648835072,"MULTILINESTRING ((981927.4324547201 200348.7729086429, 981723.121839717 200470.1571803093))",0031558,0031558,22A
89,"KioRestaurant, LLC",DUANE STREET,Manhattan,HUDSON STREET,WEST BROADWAY,"mon,tue,wed,thu,fri,sat,sun",approvedFull,11:30,22:00,11:30,22:30,11:30,22:30,11:30,22:30,11:30,22:30,12:30,22:30,12:30,01/01/2023,22:30,12/31/2023,237.648835072,"MULTILINESTRING ((981927.4324547201 200348.7729086429, 981723.121839717 200470.1571803093))",0031558,0031558,22A
90,Meatpacking District Management Association,GANSEVOORT STREET,Manhattan,HUDSON STREET,10 AVENUE,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,04/01/2023,22:00,12/31/2023,443.654670806,"MULTILINESTRING ((982462.5629461408 208661.50201806426, 982019.0300405473 208651.108338058))",0032020,0032020,22A
91,Meatpacking District Management Association,LITTLE WEST 12 STREET,Manhattan,WASHINGTON STREET,9 AVENUE,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,04/01/2023,22:00,12/31/2023,507.137913625,"MULTILINESTRING ((982495.0034980476 208744.2282305658, 982049.6963178068 208986.90162973106))",0032022,0032022,22A
92,Meatpacking District Management Association,WEST 13 STREET,Manhattan,HUDSON STREET,WASHINGTON STREET,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,04/01/2023,22:00,12/31/2023,512.377481829,"MULTILINESTRING ((982624.9343405515 208973.87344056368, 982176.5461297184 209221.8224197328))",0032026,0032026,22A
93,Meatpacking District Management Association,WEST 13 STREET,Manhattan,HUDSON STREET,WASHINGTON STREET,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,04/01/2023,22:00,12/31/2023,180.830129365,"MULTILINESTRING ((982783.5695219636 208887.07243305445, 982624.9343405515 208973.87344056368))",0032034,0032034,22A
94,"St Tropez Soho, LLC",SPRING STREET,Manhattan,SULLIVAN STREET,THOMPSON STREET,"tue,wed,thu,fri,sat,sun",approvedFull,,,16:00,23:00,15:00,23:00,15:00,23:00,15:00,00:00,11:00,00:00,11:00,04/15/2023,23:00,11/01/2023,249.75919928,"MULTILINESTRING ((983524.0631197244 203369.90170888603, 983314.1947730482 203505.30826222897))",0032132,0032132,22A
95,RDK Restaurant Corp dba Bistro Les Amis,SPRING STREET,Manhattan,THOMPSON STREET,WEST BROADWAY,"mon,tue,wed,thu,fri,sat,sun",approvedFull,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,01/09/2023,23:00,12/31/2023,224.509148057,"MULTILINESTRING ((983714.0660205483 203250.30549138784, 983524.0631197244 203369.90170888603))",0032136,0032136,22A
96,Jeffrey's Grocery,WAVERLY PLACE,Manhattan,7 AVENUE SOUTH,CHRISTOPHER STREET,"thu,fri,sat,sun",approvedFull,,,,,,,11:00,23:00,11:00,23:00,09:00,23:00,09:00,04/10/2023,23:00,10/29/2023,240.557547973,"MULTILINESTRING ((983865.1155872196 206868.4872313887, 983813.6589972228 207103.47691889107))",0032233,0032233,22A
97,Jeffrey's Grocery,WAVERLY PLACE,Manhattan,7 AVENUE SOUTH,CHRISTOPHER STREET,"thu,fri,sat,sun",approvedFull,,,,,,,11:00,23:00,11:00,23:00,09:00,23:00,09:00,04/10/2023,23:00,10/29/2023,238.587641309,"MULTILINESTRING ((983916.1128605604 206635.4135505557, 983865.1155872196 206868.4872313887))",0032237,0032237,22A
98,Jeffrey's Grocery,WAVERLY PLACE,Manhattan,7 AVENUE SOUTH,CHRISTOPHER STREET,"thu,fri,sat,sun",approvedFull,,,,,,,11:00,23:00,11:00,23:00,09:00,23:00,09:00,04/10/2023,23:00,10/29/2023,151.803706456,"MULTILINESTRING ((983813.6589972228 207103.47691889107, 983780.801451385 207251.68200306594))",0032258,0032258,22A
99,Little Italy Merchants Association,MULBERRY STREET,Manhattan,HESTER STREET,BROOME STREET,"thu,fri,sat,sun",approvedFull,,,,,,,16:30,23:30,16:30,23:30,10:30,23:30,10:30,04/02/2023,23:30,10/30/2023,459.044792814,"MULTILINESTRING ((984823.6769903004 200921.10444113612, 984872.288769722 201025.02811780572, 984917.5216188878 201130.52987530828, 984959.303031385 201237.4486247301, 984997.5673905611 201345.61146613955))",0032324,0032324,22A
100,Little Italy Merchants Association,MULBERRY STREET,Manhattan,HESTER STREET,BROOME STREET,"thu,fri,sat,sun",approvedFull,,,,,,,16:30,23:30,16:30,23:30,10:30,23:30,10:30,04/02/2023,23:30,10/30/2023,449.155340062,"MULTILINESTRING ((984997.5673905611 201345.61146613955, 985126.9601763934 201775.72543531656))",0032348,0032348,22A
101,Altamarea Group,LAFAYETTE STREET,Manhattan,SPRING STREET,KENMARE STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,01/01/2023,23:00,12/31/2023,317.823424233,"MULTILINESTRING ((984870.6089830548 202166.1806911379, 985047.554167226 202430.19230222702))",0032365,0032365,22A
102,Academy of St. Joseph,WASHINGTON PLACE,Manhattan,BARROW STREET,AVENUE OF THE AMERICAS,"mon,tue,wed,thu,fri",approvedFullSchools,11:10,13:10,11:10,13:10,11:10,13:10,11:10,13:10,11:10,13:10,,,,02/01/2023,,06/30/2024,426.817193036,"MULTILINESTRING ((984108.4713997245 206078.76112055779, 983749.4727738947 206309.61367723346))",0032419,0032419,22A
103,Bayard Rustin Educational Campus,WEST 18 STREET,Manhattan,9 AVENUE,8 AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,,,,01/31/2023,,06/28/2024,899.138517977,"MULTILINESTRING ((984055.2628447264 209699.62986305356, 983268.5062161386 210134.9045830667))",0032463,0032463,22A
104,LIttle Italy Merchants  Association,HESTER STREET,Manhattan,MOTT STREET,MULBERRY STREET,"thu,fri,sat,sun",approvedFull,,,,,,,16:30,23:30,16:30,23:30,10:30,23:30,10:30,04/02/2023,23:30,10/30/2023,251.091006078,"MULTILINESTRING ((985051.6158388853 200815.79264388978, 984823.6769903004 200921.10444113612))",0032474,0032474,22A
105,Peasant,ELIZABETH STREET,Manhattan,SPRING STREET,PRINCE STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,16:30,23:00,16:30,23:00,16:30,23:00,16:30,23:00,16:30,23:00,11:00,23:00,11:00,05/01/2023,23:00,12/01/2023,537.414107277,"MULTILINESTRING ((985717.6942311376 202068.72648972273, 985870.6660380512 202583.9095144719))",0032529,0032529,22A
106,PS 42M,HESTER STREET,Manhattan,ORCHARD STREET,LUDLOW STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:45,14:45,07:45,14:45,07:45,14:45,07:45,14:45,07:45,14:45,,,,09/05/2023,,06/28/2024,224.359486276,"MULTILINESTRING ((986867.4586638808 200059.7971086502, 986659.1519938856 200143.1368369758))",0032668,0032668,22A
107,Lower East Side Partnership,ORCHARD STREET,Manhattan,GRAND STREET,DELANCEY STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,12:00,21:00,12:00,21:00,12:00,21:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,01/31/2023,21:00,12/31/2023,360.746758793,"MULTILINESTRING ((986827.2422088832 200572.17469280958, 986957.3534972221 200908.64055530727))",0032670,0032670,22A
108,Lower East Side Partnership,BROOME STREET,Manhattan,ALLEN STREET,LUDLOW STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,12:00,21:00,12:00,21:00,12:00,21:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,01/31/2023,21:00,12/31/2023,143.869813535,"MULTILINESTRING ((986957.3534972221 200908.64055530727, 986823.5479905605 200961.50462281704))",0032674,0032674,22A
