Object ID,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,apprStartD,Approved Sunday Close,apprEndDat,Shape_STLe,the Geom,segmentidt,segmentidf,lionversion
312,Hudson Square Business Improvement District,AVENUE OF THE AMERICAS,Manhattan,SPRING STREET,DOMINICK STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,04/03/2023,18:00,10/31/2023,237.779532636,"MULTILINESTRING ((982962.1748078018 203380.8862669766, 982983.2466160506 203571.36620098352), (982983.2466160506 203571.36620098352, 982988.3197686374 203617.22404889762))",0296131,0296130,22A
313,Cervo's,CANAL STREET,Manhattan,ESSEX STREET,ORCHARD STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,15:00,00:00,15:00,00:00,15:00,00:00,15:00,00:00,15:00,00:00,15:00,00:00,15:00,04/01/2023,00:00,11/15/2023,270.6685317,"MULTILINESTRING ((986961.1855105609 199553.64326530695, 986812.8590355515 199607.96074198186), (986812.8590355515 199607.96074198186, 986708.1578013897 199649.68638031185))",0024166,0024172,22A
314,Loisaida Open Streets Community Coalition,AVENUE B,Manhattan,EAST 6 STREET,EAST 14 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/31/2023,20:00,12/31/2050,243.858133937,"MULTILINESTRING ((989701.1370516419 203880.6752936393, 989746.3800713867 203962.35492031276), (989746.3800713867 203962.35492031276, 989819.2962641418 204093.9947488904))",0310652,0310651,22A
315,Van Duzer Street Civic Association,WATER STREET,Staten Island,BEACH STREET,CANAL STREET,sat,approvedFull,,,,,,,,,,,11:30,18:30,,06/03/2023,,06/24/2023,429.93480255,"MULTILINESTRING ((962692.3239433914 167717.62524455786, 962625.9231575578 167693.74733956158), (963048.0253317207 167768.85217623413, 962692.3239433914 167717.62524455786))",0105664,0105663,22A
316,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,04/21/2023,23:00,11/19/2023,274.02276269,"MULTILINESTRING ((993270.2276824713 187598.35910506546, 993214.7523997277 187368.50720256567), (993262.1666749716 187635.05522589386, 993270.2276824713 187598.35910506546))",0163714,0163712,22A
317,Chauncey Street Block & Tenants Association,CHAUNCEY STREET,Brooklyn,HOWARD AVENUE,SARATOGA AVENUE,sat,approvedLimited,,,,,,,,,,,10:00,18:00,,05/27/2023,,11/01/2023,769.620395073,"MULTILINESTRING ((1006516.2412166446 187582.38472756743, 1007172.0827527195 187682.41077423096), (1007172.0827527195 187682.41077423096, 1007277.141597718 187697.90286922455))",0106359,0106358,22A
318,Salsa Stories,BECK STREET,Bronx,LEGGETT AVENUE,AVENUE ST JOHN,wed,approvedFull,,,,,18:00,21:30,,,,,,,,07/26/2023,,08/30/2023,619.314479576,"MULTILINESTRING ((1011316.3654746413 236034.08113105595, 1011529.1111121327 236113.0901593864), (1011529.1111121327 236113.0901593864, 1011896.9355077147 236249.69388881326))",0130782,0130781,22A
319,Flatbush Development Corporation,NEWKIRK AVENUE,Brooklyn,CONEY ISLAND AVENUE,EAST 17 STREET,sun,approvedFull,,,,,,,,,,,,,12:00,06/11/2023,20:00,07/30/2023,284.786787549,"MULTILINESTRING ((994181.9679849744 170662.4746698141, 994209.6943074763 170680.0389391482), (994209.6943074763 170680.0389391482, 994422.5449316353 170814.8762678951))",0326177,0326176,22A
320,Hellenic Classical Charter Schools,18 STREET,Brooklyn,5 AVENUE,4 AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,08:15,15:35,08:15,15:35,08:15,15:35,08:15,15:35,08:15,15:35,,,,09/07/2023,,06/28/2024,768.660222317,"MULTILINESTRING ((986467.4821016341 180909.79603864253, 986560.2676772177 180835.72827339172), (985959.5372513831 181315.27127756178, 986467.4821016341 180909.79603864253))",0328789,0328788,22A
321,34th Avenue Open Streets Coalition A Program of Together We Can,34 AVENUE,Queens,69 STREET,JUNCTION BOULEVARD,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,01/01/2023,20:00,12/31/2050,272.995599601,"MULTILINESTRING ((1012743.8731183112 213433.77232913673, 1012775.5489079654 213424.34321413934), (1012775.5489079654 213424.34321413934, 1013013.104535222 213458.12923580408))",0153824,0152515,22A
322,DHS Block Association,DECATUR STREET,Brooklyn,HOWARD AVENUE,SARATOGA AVENUE,sat,approvedLimited,,,,,,,,,,,10:00,20:00,,06/24/2023,,10/28/2023,769.964464111,"MULTILINESTRING ((1006435.0402635485 188116.96371088922, 1007090.4293727279 188216.91757923365), (1007090.4293727279 188216.91757923365, 1007196.2034393847 188233.04943673313))",0106367,0106366,22A
323,Meatpacking District Management Association,GANSEVOORT STREET,Manhattan,HUDSON STREET,10 AVENUE,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,04/01/2023,22:00,12/31/2023,451.514242254,"MULTILINESTRING ((982019.0300405473 208651.108338058, 981961.643344298 208651.3061723113), (981961.643344298 208651.3061723113, 981567.5184763819 208652.6634530574))",0236855,0236854,22A
324,34th Avenue Open Streets Coalition A Program of Together We Can,34 AVENUE,Queens,69 STREET,JUNCTION BOULEVARD,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,01/01/2023,20:00,12/31/2050,272.227912054,"MULTILINESTRING ((1012743.8731183112 213433.77232913673, 1012773.1309338063 213449.92748056352), (1012773.1309338063 213449.92748056352, 1013009.5379413068 213483.6934891492))",0154004,0152516,22A
325,Columbus Avenue Business Improvement District,COLUMBUS AVENUE,Manhattan,WEST 68 STREET,WEST 77 STREET,sun,approvedFull,,,,,,,,,,,,,10:00,05/07/2023,20:00,06/25/2023,273.48873677,"MULTILINESTRING ((990646.630895555 223451.75754247606, 990713.0379149765 223572.47613306344), (990713.0379149765 223572.47613306344, 990781.2871223092 223689.77642339468))",0218229,0218228,22A
